Code_Sp,famille,genre,espece,nom_total,Alimentation,groupe_troph1,groupe_troph2,taille_classe,mobilite,gregarite,taille_moy,taille max,nycthem,comportement,crypticite,niveau_colonne,couleur,pattern_livree,forme,dimorph_sexuel,commercial,commercial_2,Commercial PROCFISH,cible_VKP,a,b,niveau_a_b,Up_Date_SOP
278,MURAENIDAE,Echidna,polyzona,Echidna_polyzona,c1,C,C,5,2,1,30,60,n,n,vc,b,d,b,a,a,a,nc,oui,0,0.000282055,3.351610784,genus
282,MURAENIDAE,Enchelycore,bayeri,Enchelycore_bayeri,p,P,P,5,2,1,35,55,n,n,vc,b,d,u,a,a,a,nc,oui,0,0.004653585,2.613511331,famille
290,MURAENIDAE,Uropterygius,concolor,Uropterygius_concolor,c1,C,C,6,3,1,80,120,n,n,vc,b,d,b,a,a,a,nc,oui,0,0.004653585,2.613511331,famille
298,MURAENIDAE,Gymnothorax,albimarginatus,Gymnothorax_albimarginatus,p-c1,P,P,6,2,1,50,100,n,n,vc,b,d,u,a,a,a,nc,oui,0,0.000517944,3.30314261,genus
300,MURAENIDAE,Gymnothorax,berndti,Gymnothorax_berndti,p-c1,P,P,6,2,1,60,100,n,n,vc,b,d,m,a,a,a,nc,oui,0,0.000517944,3.30314261,genus
302,MURAENIDAE,Gymnothorax,buroensis,Gymnothorax_buroensis,c1,C,C,4,2,1,20,33,n,n,vc,b,d,u,a,a,a,nc,oui,0,0.000517944,3.30314261,genus
303,MURAENIDAE,Gymnothorax,chilospilus,Gymnothorax_chilospilus,p-c1,P,P,4,2,1,30,50,n,n,vc,b,c,m,a,a,a,nc,oui,0,0.000517944,3.30314261,genus
304,MURAENIDAE,Gymnothorax,eurostus,Gymnothorax_eurostus,c1,C,C,5,2,1,40,57,n,n,vc,b,d,u,a,a,a,nc,oui,0,0.000517944,3.30314261,genus
306,MURAENIDAE,Gymnothorax,fimbriatus,Gymnothorax_fimbriatus,p,P,P,5,2,1,50,80,n,n,vc,b,b,sp,a,a,a,nc,oui,0,0.000439441,3.323573107,sp
308,MURAENIDAE,Gymnothorax,flavimarginatus,Gymnothorax_flavimarginatus,p,P,P,6,2,1,80,120,n,n,vc,b,d,u,a,a,a,nc,oui,0,0.000517944,3.30314261,genus
309,MURAENIDAE,Gymnothorax,fuscomaculata,Gymnothorax_fuscomaculata,p,P,P,3,2,1,12,20,n,n,vc,b,d,sp,a,a,a,nc,oui,0,0.000517944,3.30314261,genus
310,MURAENIDAE,Gymnothorax,hepaticus,Gymnothorax_hepaticus,c1,C,C,6,2,1,60,100,n,n,vc,b,d,u,a,a,a,nc,oui,0,0.000517944,3.30314261,genus
314,MURAENIDAE,Gymnothorax,javanicus,Gymnothorax_javanicus,p,P,P,6,2,1,120,230,n,n,vc,b,d,u,a,a,a,nc,oui,0,0.000517944,3.30314261,genus
316,MURAENIDAE,Gymnothorax,margaritophorus,Gymnothorax_margaritophorus,c1,C,C,5,2,1,40,70,n,n,vc,b,d,sp,a,a,a,nc,oui,0,0.000517944,3.30314261,genus
318,MURAENIDAE,Gymnothorax,meleagris,Gymnothorax_meleagris,p,P,P,6,2,1,80,120,n,n,vc,b,d,sp,a,a,a,nc,oui,0,0.000517944,3.30314261,genus
320,MURAENIDAE,Gymnothorax,monochrous,Gymnothorax_monochrous,p,P,P,5,2,1,60,80,n,n,vc,b,d,u,a,a,a,nc,oui,0,0.000517944,3.30314261,genus
322,MURAENIDAE,Gymnothorax,nudivomer,Gymnothorax_nudivomer,p,P,P,6,2,1,120,180,n,n,vc,b,c,sp,a,a,a,nc,oui,0,0.000517944,3.30314261,genus
324,MURAENIDAE,Siderea,picta,Siderea_picta,p-c1,P,P,6,3,1,80,120,n,n,vc,b,d,u,a,a,a,nc,oui,0,0.004653585,2.613511331,famille
325,MURAENIDAE,Siderea,prosopeion,Siderea_prosopeion,p-c1,P,P,5,3,1,40,65,n,n,vc,b,d,u,a,a,a,nc,oui,0,0.004653585,2.613511331,famille
326,MURAENIDAE,Gymnothorax,pindae,Gymnothorax_pindae,c1,C,C,4,2,1,25,40,n,n,vc,b,d,u,a,a,a,nc,oui,0,0.000517944,3.30314261,genus
328,MURAENIDAE,Gymnothorax,richardsoni,Gymnothorax_richardsoni,c1,C,C,3,2,1,20,30,n,n,vc,b,c,m,a,a,a,nc,oui,0,0.000517944,3.30314261,genus
330,MURAENIDAE,Gymnothorax,thyrsoideus,Gymnothorax_thyrsoideus,p-c1,P,P,5,2,1,60,80,n,n,vc,b,d,u,a,a,a,nc,oui,0,0.000517944,3.30314261,genus
331,MURAENIDAE,Gymnothorax,rueppelliae,Gymnothorax_rueppelliae,c1,C,C,6,3,1,120,250,n,n,vc,b,b,b,a,a,a,nc,oui,0,0.000517944,3.30314261,genus
332,MURAENIDAE,Gymnothorax,undulatus,Gymnothorax_undulatus,p,P,P,6,2,1,100,150,n,n,vc,b,d,m,a,a,a,nc,oui,0,0.000517944,3.30314261,genus
334,MURAENIDAE,Gymnothorax,zonipectus,Gymnothorax_zonipectus,p,P,P,4,2,1,30,45,n,n,vc,b,d,u,a,a,a,nc,oui,0,0.000517944,3.30314261,genus
335,MURAENIDAE,Gymnothorax,sp,Gymnothorax_sp,c1,C,C,0,3,1,,,n,n,vc,b,X,X,a,a,a,nc,oui,0,0.000517944,3.30314261,genus
370,MURAENIDAE,Rhinomuraena,quaesita,Rhinomuraena_quaesita,p,P,P,6,1,1,80,120,n,n,vc,b,b,u,a,a,a,nc,oui,0,0.004653585,2.613511331,famille
375,MURAENIDAE,Strophydon,sp,Strophydon_sp,c1,C,C,0,2,1,,,n,n,vc,b,X,X,a,a,a,nc,oui,0,0.004653585,2.613511331,famille
380,MURAENIDAE,Thyrsoidea,macrura,Thyrsoidea_macrura,p,P,P,6,3,1,150,350,n,n,vc,b,d,u,a,a,a,nc,oui,0,0.011260636,2.310835043,sp
382,MURAENIDAE,Thyrsoidea,sp,Thyrsoidea_sp,p,P,P,0,3,1,,,n,n,vc,b,X,X,a,a,a,nc,oui,0,0.011477268,2.305475504,genus
390,MURAENIDAE,Uropterygius,tigrinus,Uropterygius_tigrinus,p-c1,P,P,6,2,1,80,120,n,n,vc,b,d,sp,a,a,a,nc,oui,0,0.004653585,2.613511331,famille
394,MURAENIDAE,Uropterygius,sp,Uropterygius_sp,c1,C,C,0,2,1,,,n,n,vc,b,X,X,a,a,a,nc,oui,0,0.004653585,2.613511331,famille
410,OPHICHTIDAE,Apterichtus,klazingai,Apterichtus_klazingai,c1,C,C,4,2,1,25,40,n,n,vc,b,d,u,a,a,a,nc,non,0,inconnu,inconnu,
416,OPHICHTIDAE,Callechelys,melanotaenia,Callechelys_melanotaenia,c1,C,C,6,2,1,60,85,n,n,vc,b,d,u,a,a,a,nc,non,0,inconnu,inconnu,
422,OPHICHTIDAE,Evyps,sp,Evyps_sp,c1,C,C,0,2,1,,,n,n,vc,b,d,u,a,a,a,nc,non,0,inconnu,inconnu,
426,OPHICHTIDAE,Leiuranus,semicinctus,Leiuranus_semicinctus,c1,C,C,5,2,1,40,70,n,n,vc,b,d,u,a,a,a,nc,non,0,inconnu,inconnu,
436,OPHICHTIDAE,Muraenichthys,sp,Muraenichthys_sp,c1,C,C,0,0,1,,,n,n,vc,b,d,u,a,a,a,nc,non,0,inconnu,inconnu,
450,OPHICHTIDAE,Myrophis,uropterus,Myrophis_uropterus,c1,C,C,5,2,1,35,60,n,n,vc,b,d,u,a,a,a,nc,non,0,0.027619109,3.030413227,genus
455,OPHICHTIDAE,Ophictus,cephalozona,Ophictus_cephalozona,p-c1,P,P,6,2,1,70,100,n,n,vc,b,d,m,a,a,a,nc,non,0,inconnu,inconnu,
456,OPHICHTIDAE,Ophichtus,sp,Ophichtus_sp,c1,C,C,0,3,1,,,n,n,vc,b,d,u,a,a,a,nc,non,0,inconnu,inconnu,
462,OPHICHTIDAE,Phyllophichtus,sp,Phyllophichtus_sp,c1,C,C,0,0,1,,,n,n,vc,b,d,u,a,a,a,nc,non,0,inconnu,inconnu,
470,OPHICHTIDAE,Yirrkala,lumbricoides,Yirrkala_lumbricoides,c1,C,C,0,0,1,,,n,n,vc,b,d,u,a,a,a,nc,non,0,inconnu,inconnu,
488,CONGRIDAE,Congridae,sp,Congridae_sp,p,P,P,6,2,1,80,150,n,n,vc,b,d,u,a,a,a,nc,non,0,0.000804794,3.126807686,genus
510,CONGRIDAE,Conger,cinereus,Conger_cinereus,p,P,P,6,3,1,80,130,n,n,vc,b,d,u,a,a,a,nc,non,0,0.000804794,3.126807686,sp
514,CONGRIDAE,Conger,wilsoni,Conger_wilsoni,p,P,P,6,3,1,80,150,n,n,vc,b,d,u,a,a,a,nc,non,0,0.000804794,3.126807686,genus
526,CONGRIDAE,Gnathophis,sp,Gnathophis_sp,p-c1,P,P,0,0,0,,,n,n,vc,b,d,u,a,a,a,nc,non,0,0.000878553,3.085914958,famille
532,CONGRIDAE,Heteroconger,hassi,Heteroconger_hassi,z,Z,Z,4,1,4,25,35,n,n,vc,b,d,sp,a,a,a,nc,non,0,0.000878553,3.085914958,famille
540,CONGRIDAE,Muraenesox,bagio,Muraenesox_bagio,p,P,P,6,3,1,100,180,n,n,vc,b,d,u,a,a,a,nc,non,0,0.002588394,2.824284326,sp
541,CONGRIDAE,Muraenesox,sp,Muraenesox_sp,p,P,P,0,3,1,,,n,n,vc,b,d,u,a,a,a,nc,non,0,0.003841151,2.737108901,genus
590,CLUPEIDAE,Sardine,sp,Sardine_sp,z,Z,Z,0,4,5,,,b,n,nc,h,s,u,c,a,m,c,non,0,0.00932037,3.314243292,famille
592,CLUPEIDAE,Amblygaster,clupeoides,Amblygaster_clupeoides,z,Z,Z,3,4,5,12,17,b,n,nc,h,s,u,c,a,m,c,non,0,0.00932037,3.314243292,famille
594,CLUPEIDAE,Amblygaster,sirm,Amblygaster_sirm,z,Z,Z,3,4,5,12,20,b,n,nc,h,s,u,c,a,m,c,non,0,0.00932037,3.314243292,famille
600,CLUPEIDAE,Anodontostoma,chacunda,Anodontostoma_chacunda,z,Z,Z,3,4,4,17,23,b,n,nc,h,s,u,c,a,m,c,non,0,0.020218504,3.049477777,sp
606,CLUPEIDAE,Dussumieria,acuta,Dussumieria_acuta,z,Z,Z,3,4,5,15,20,b,n,nc,h,s,u,c,a,m,c,non,0,0.00932037,3.314243292,famille
608,CLUPEIDAE,Dussumieria,sp,Dussumieria_sp,z,Z,Z,0,4,5,,,b,n,nc,h,s,u,c,a,m,c,non,0,0.00932037,3.314243292,famille
620,CLUPEIDAE,Herklotsichthys,quadrimaculatus,Herklotsichthys_quadrimaculatus,z,Z,Z,2,4,5,10,15,b,n,nc,h,s,u,c,a,m,c,non,0,0.004534323,3.492449325,sp
624,CLUPEIDAE,Herklotsichthys,sp,Herklotsichthys_sp,z,Z,Z,0,4,5,,,b,n,nc,h,s,u,c,a,m,c,non,0,0.00654051,3.316562582,genus
640,CLUPEIDAE,Sardinella,fijiensis,Sardinella_fijiensis,z,Z,Z,2,4,5,10,14,b,n,nc,h,s,u,c,a,m,c,non,0,0.016298104,2.971000068,sp
642,CLUPEIDAE,Sardinella,melanura,Sardinella_melanura,z,Z,Z,2,4,5,12,15,b,n,nc,h,s,u,c,a,m,c,non,0,0.016657273,2.960068674,genus
644,CLUPEIDAE,Sardinella,sp,Sardinella_sp,z,Z,Z,0,4,5,,,b,n,nc,h,s,u,c,a,m,c,non,0,0.016657273,2.960068674,genus
652,CLUPEIDAE,Sprat,sp,Sprat_sp,z,Z,Z,1,4,5,5,7,b,n,nc,h,s,u,c,a,m,c,non,0,0.00932037,3.314243292,famille
654,CLUPEIDAE,Spratelloides,delicatulus,Spratelloides_delicatulus,z,Z,Z,1,4,5,5,7,b,n,nc,h,s,u,c,a,m,c,non,0,0.00932037,3.314243292,famille
656,CLUPEIDAE,Spratelloides,gracilis,Spratelloides_gracilis,z,Z,Z,1,4,5,5,6,b,n,nc,h,s,u,c,a,m,c,non,0,0.00932037,3.314243292,famille
678,ENGRAULIDAE,Engraulidae,sp,Engraulidae_sp,z,Z,Z,0,4,5,,,b,n,nc,h,s,u,c,a,m,c,non,0,0.003345745,3.491595729,famille
680,ENGRAULIDAE,Stolephorus,devisi,Stolephorus_devisi,z,Z,Z,2,4,5,6,9,b,n,nc,h,s,u,c,a,m,c,non,0,0.025223907,2.600252745,genus
682,ENGRAULIDAE,Stolephorus,heterolobus,Stolephorus_heterolobus,z,Z,Z,2,4,5,9,13,b,n,nc,h,s,u,c,a,m,c,non,0,0.025223907,2.600252745,genus
684,ENGRAULIDAE,Stolephorus,indicus,Stolephorus_indicus,z,Z,Z,2,4,5,8,12,b,n,nc,h,s,u,c,a,m,c,non,0,0.025223907,2.600252745,genus
688,ENGRAULIDAE,Stolephorus,tri,Stolephorus_tri,z,Z,Z,2,4,5,8,11,b,n,nc,h,s,u,c,a,m,c,non,0,0.025223907,2.600252745,genus
690,ENGRAULIDAE,Stolephorus,waitei,Stolephorus_waitei,z,Z,Z,2,4,5,8,11,b,n,nc,h,s,u,c,a,m,c,non,0,0.025223907,2.600252745,genus
710,ENGRAULIDAE,Thryssina,baelama,Thryssina_baelama,z,Z,Z,2,4,5,10,15,b,n,nc,h,s,u,c,a,m,c,non,0,0.002757952,3.585668799,sp
730,CHIROCENTRIDAE,Chirocentrus,dorab,Chirocentrus_dorab,p,P,P,6,4,3,70,130,b,n,nc,h,s,u,s,a,a,nc,non,0,0.005087572,2.987170104,sp
740,CHANIDAE,Chanos,chanos,Chanos_chanos,h2c2d,H,H,6,4,3,70,120,b,s,nc,h,s,u,c,a,m,c,non,0,0.004740183,3.389106733,sp
750,CHANIDAE,Gonorynchus,sp,Gonorynchus_sp,c1,C,C,0,0,0,,,X,X,X,X,X,X,X,a,a,nc,non,0,inconnu,inconnu,
760,PLOTOSIDAE,Plotosus,lineatus,Plotosus_lineatus,z,Z,Z,3,3,4,20,30,b,n,nc,b,d,st,s,a,a,nc,non,0,0.00324665,3.855793329,famille
800,SYNODONTIDAE,Saurida,gracilis,Saurida_gracilis,p,P,P,3,3,1,13,20,b,n,c,b,d,m,c,a,a,nc,non,0,0.0065743,3.164927539,sp
804,SYNODONTIDAE,Saurida,nebulosa,Saurida_nebulosa,p,P,P,3,3,1,12,17,b,n,c,b,d,m,c,a,a,nc,non,0,0.005766907,3.213749707,sp
805,SYNODONTIDAE,Saurida,sp,Saurida_sp,p,P,P,3,3,1,15,20,b,n,c,b,d,m,c,a,a,nc,non,0,0.007973385,3.059076893,genus
806,SYNODONTIDAE,Saurida,undosquamis,Saurida_undosquamis,p,P,P,4,3,1,18,35,b,n,c,b,d,m,c,a,a,nc,non,0,0.006291799,3.13409868,sp
820,SYNODONTIDAE,Synodus,binotatus,Synodus_binotatus,p,P,P,2,3,1,10,14,b,n,c,b,d,m,c,a,a,nc,non,0,0.008477549,3.0777,genus
821,SYNODONTIDAE,Synodus,doaki,Synodus_doaki,p,P,P,3,3,1,17,26,b,n,c,b,d,b,c,a,a,nc,non,0,0.008477549,3.0777,genus
822,SYNODONTIDAE,Synodus,variegatus,Synodus_variegatus,p,P,P,3,3,1,14,25,b,n,c,b,d,m,c,a,a,nc,non,0,0.003142821,3.483798595,sp
823,SYNODONTIDAE,Synodus,dermatogenis,Synodus_dermatogenis,p,P,P,3,3,1,12,22,b,n,c,b,d,st,c,a,a,nc,non,0,0.004646068,3.345533378,sp
824,SYNODONTIDAE,Synodus,hoshinonis,Synodus_hoshinonis,p,P,P,3,3,1,12,18,b,n,c,b,X,X,c,a,a,nc,non,0,0.001768622,3.662091494,sp
825,SYNODONTIDAE,Synodus,jaculum,Synodus_jaculum,p,P,P,3,3,1,12,20,b,n,c,b,d,m,c,a,a,nc,non,0,0.008477549,3.0777,genus
832,SYNODONTIDAE,Synodus,sp,Synodus_sp,p,P,P,3,3,1,12,18,b,n,c,b,X,X,c,a,a,nc,non,0,0.008477549,3.0777,genus
835,SYNODONTIDAE,Trachynocephalus,myops,Trachynocephalus_myops,p-c1,P,P,3,3,1,15,22,b,n,c,b,d,b,c,a,a,nc,non,0,0.00886651,3.027559878,famille
914,OPHIDIIDAE,Brotula,multibarbata,Brotula_multibarbata,c1,C,C,4,3,1,20,35,n,n,vc,b,d,u,s,a,a,nc,non,0,inconnu,inconnu,
916,OPHIDIIDAE,Brotula,sp,Brotula_sp,c1,C,C,0,3,1,,,n,n,vc,b,d,u,s,a,a,nc,non,0,inconnu,inconnu,
