Id,St,T,Site,Client,Geom1,Geom2,N_Impact,Cote,Lieu,Utilise analyse,Profondeur,X,Y,,,,,,,,,,
KNS_KONIAMBO_05_2008_KO4_T09,KO4,T09,KONIAMBO,KNS,Récif réticulé,RR,Impact,Ouest,Koné,Non,,470987,7664450,,,,,,,,,,
KNS_KONIAMBO_05_2008_LG1B_T01,LG1B,T01,KONIAMBO,KNS,Récif frangeant,RF,Impact,Ouest,Voh,Oui,,463779,7679392,,,,,,,,,,
KNS_KONIAMBO_05_2008_LG1B_T03,LG1B,T03,KONIAMBO,KNS,Récif frangeant,RF,Impact,Ouest,Voh,Oui,,463779,7679392,,,,,,,,,,
KNS_KONIAMBO_05_2008_LG1B_T05,LG1B,T05,KONIAMBO,KNS,Récif frangeant,RF,Impact,Ouest,Voh,Oui,,463779,7679392,,,,,,,,,,
KNS_KONIAMBO_05_2008_LG1B_T07,LG1B,T07,KONIAMBO,KNS,Récif frangeant,RF,Impact,Ouest,Voh,Oui,,463779,7679392,,,,,,,,,,
KNS_KONIAMBO_05_2008_LG1B_T09,LG1B,T09,KONIAMBO,KNS,Récif frangeant,RF,Impact,Ouest,Voh,Oui,,463779,7679392,,,,,,,,,,
KNS_KONIAMBO_05_2008_LG2B_T01,LG2B,T01,KONIAMBO,KNS,Récif frangeant,RF,Impact,Ouest,Voh,Oui,,462660,7680052,,,,,,,,,,
KNS_KONIAMBO_05_2008_LG2B_T03,LG2B,T03,KONIAMBO,KNS,Récif frangeant,RF,Impact,Ouest,Voh,Oui,,462660,7680052,,,,,,,,,,
KNS_KONIAMBO_05_2008_LG2B_T05,LG2B,T05,KONIAMBO,KNS,Récif frangeant,RF,Impact,Ouest,Voh,Oui,,462660,7680052,,,,,,,,,,
KNS_KONIAMBO_05_2008_LG2B_T07,LG2B,T07,KONIAMBO,KNS,Récif frangeant,RF,Impact,Ouest,Voh,Oui,,462660,7680052,,,,,,,,,,
